CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
,,,-11935.333123314485,0.003782690412401139,16.0,0.26,4150.0,0.0008442211055276382
,,,-11970.629660259416,0.00369703206257297,17.0,0.26,4150.0,0.0008924084709260588
,,,-11993.170755360945,0.0036169873319695433,18.0,0.26,4150.0,0.0009449030868628858
,,,-12002.077409354635,0.0035415470545414177,19.0,0.26,4150.0,0.0009973977027997127
,,,-12009.459653117417,0.0034692173424129423,20.0,0.26,4150.0,0.00104989231873654
,,,-12007.072874157457,0.003401306817511306,21.0,0.26,4150.0,0.0011023869346733668
,,,-11992.213913120591,0.0033381811957471736,22.0,0.26,4150.0,0.001148959081119885
,,,-11980.538690298235,0.0032640759213454847,23.0,0.26,4100.0,0.0012011844938980617
,,,-11971.769237400244,0.0032037646112945887,24.0,0.26,4100.0,0.0012534099066762382
,,,-11948.55309256968,0.0031497914187738436,25.0,0.26,4100.0,0.001305635319454415
,,,-11916.09819727706,0.0030971861613287048,26.0,0.26,4100.0,0.0013578607322325914
,,,-11889.479957069445,0.0030459608299544163,27.0,0.26,4100.0,0.001402817659727207
,,,-11865.332146429857,0.002996535341026668,28.0,0.26,4100.0,0.0014547738693467336
,,,-11833.027566346937,0.0029505568820175176,29.0,0.26,4100.0,0.0015067300789662597
,,,-11795.818399097428,0.00290571164992495,30.0,0.26,4100.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.006657343411008849,0.0,0.30000000000000004,4300.0,0.0
,,,-3701.8108218456327,0.006239886406954687,1.0,0.30000000000000004,4300.0,5.357142857142857e-05
,,,-5877.209070038429,0.005897947523087126,2.0,0.30000000000000004,4300.0,0.00010660445082555634
,,,-7317.93052562821,0.0055779851105275625,3.0,0.30000000000000004,4250.0,0.0001599066762383345
,,,-8339.393978268417,0.00533102741969244,4.0,0.30000000000000004,4250.0,0.00021320890165111268
,,,-9094.89572593935,0.005114487718134446,5.0,0.30000000000000004,4250.0,0.0002665111270638909
,,,-9672.150790285239,0.004921727013142798,6.0,0.30000000000000004,4250.0,0.000319813352476669
,,,-10121.516249890701,0.004725501693792407,7.0,0.30000000000000004,4200.0,0.00037123115577889453
,,,-10475.682865146984,0.004570656647699221,8.0,0.30000000000000004,4200.0,0.0004242641780330223
,,,-10762.073671579237,0.004428525471644471,9.0,0.30000000000000004,4200.0,0.00047729720028715
,,,-10989.019189572376,0.0042994865712378955,10.0,0.30000000000000004,4200.0,0.0005303302225412779
,,,-11171.23454468356,0.004180194740413768,11.0,0.30000000000000004,4200.0,0.0005833632447954057
,,,-11328.00262485558,0.004068176339780799,12.0,0.30000000000000004,4200.0,0.0006331658291457286
,,,-11446.140630379647,0.003966163142577372,13.0,0.30000000000000004,4200.0,0.000685929648241206
,,,-11545.145481473337,0.003852924711789022,14.0,0.30000000000000004,4150.0,0.0007386934673366835
,,,-11623.725437385932,0.00376380660472798,15.0,0.30000000000000004,4150.0,0.0007914572864321607
,,,-11686.817846467777,0.00368051632753426,16.0,0.30000000000000004,4150.0,0.0008442211055276382
,,,-11738.55399833429,0.003601027107510021,17.0,0.30000000000000004,4150.0,0.0008924084709260588
,,,-11777.48736711988,0.0035266155052687846,18.0,0.30000000000000004,4150.0,0.0009449030868628858
,,,-11802.173683325884,0.0034563794074112665,19.0,0.30000000000000004,4150.0,0.0009973977027997127
,,,-11825.083880002283,0.003388924786415349,20.0,0.30000000000000004,4150.0,0.00104989231873654
,,,-11837.815501538913,0.003325510691861145,21.0,0.30000000000000004,4150.0,0.0011023869346733668
,,,-11838.115994047228,0.0032664838033523913,22.0,0.30000000000000004,4150.0,0.001148959081119885
,,,-11840.56281773169,0.0032086798539924795,23.0,0.30000000000000004,4150.0,0.0012011844938980617
,,,-11845.3206350041,0.003151842320834516,24.0,0.30000000000000004,4150.0,0.0012534099066762382
,,,-11835.645337548842,0.003088966891039225,25.0,0.30000000000000004,4100.0,0.001305635319454415
,,,-11816.293241851803,0.003039537262218698,26.0,0.30000000000000004,4100.0,0.0013578607322325914
,,,-11802.724348451993,0.0029913548738858694,27.0,0.30000000000000004,4100.0,0.001402817659727207
,,,-11791.146003621681,0.002944803320422496,28.0,0.30000000000000004,4100.0,0.0014547738693467336
,,,-11770.355602247226,0.0029014413216474784,29.0,0.30000000000000004,4100.0,0.0015067300789662597
,,,-11745.258447756285,0.0028591206912316315,30.0,0.30000000000000004,4100.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.006246287891549985,0.0,0.34,4300.0,0.0
,,,-3489.0556771793636,0.005879130416020807,1.0,0.34,4300.0,5.357142857142857e-05
,,,-5559.981779538815,0.005576725349103021,2.0,0.34,4300.0,0.00010660445082555634
,,,-6945.9842829384725,0.00529011652992577,3.0,0.34,4250.0,0.0001599066762383345
,,,-7939.744041616956,0.005069759788027562,4.0,0.34,4250.0,0.00021320890165111268
,,,-8683.409020711086,0.00487580479820795,5.0,0.34,4250.0,0.0002665111270638909
,,,-9258.650801098782,0.004702546670109978,6.0,0.34,4250.0,0.000319813352476669
,,,-9712.23388304466,0.004546554038426648,7.0,0.34,4250.0,0.00037123115577889453
,,,-10074.851044717398,0.00438381772463672,8.0,0.34,4200.0,0.0004242641780330223
,,,-10372.561007007498,0.004254962387266147,9.0,0.34,4200.0,0.00047729720028715
,,,-10612.673860330862,0.004137671866393214,10.0,0.34,4200.0,0.0005303302225412779
,,,-10809.426547914532,0.004028987138716048,11.0,0.34,4200.0,0.0005833632447954057
,,,-10981.17093382714,0.003926699584221243,12.0,0.34,4200.0,0.0006331658291457286
,,,-11115.071014675734,0.0038333391843223047,13.0,0.34,4200.0,0.000685929648241206
,,,-11229.916818575351,0.0037447260530687953,14.0,0.34,4200.0,0.0007386934673366835
,,,-11324.127929334893,0.003662244938306424,15.0,0.34,4200.0,0.0007914572864321607
,,,-11403.117432945648,0.003569688079401872,16.0,0.34,4150.0,0.0008442211055276382
,,,-11470.341915420679,0.0034964226241153253,17.0,0.34,4150.0,0.0008924084709260588
,,,-11524.81328604788,0.0034277147038308847,18.0,0.34,4150.0,0.0009449030868628858
,,,-11564.560206560098,0.003362762373587069,19.0,0.34,4150.0,0.0009973977027997127
,,,-11602.346613264068,0.0033002760654703917,20.0,0.34,4150.0,0.00104989231873654
,,,-11629.633395804172,0.003241455233273639,21.0,0.34,4150.0,0.0011023869346733668
,,,-11644.597627597104,0.0031866276353418915,22.0,0.34,4150.0,0.001148959081119885
,,,-11660.894260787943,0.0031328556012873167,23.0,0.34,4150.0,0.0012011844938980617
,,,-11679.028145460514,0.0030799251626843533,24.0,0.34,4150.0,0.0012534099066762382
,,,-11682.7045980912,0.0030322732066809443,25.0,0.34,4150.0,0.001305635319454415
,,,-11676.058797068472,0.0029858897783322878,26.0,0.34,4150.0,0.0013578607322325914
,,,-11675.148506771824,0.002940530980839113,27.0,0.34,4150.0,0.001402817659727207
,,,-11675.851019220449,0.002885615774862391,28.0,0.34,4100.0,0.0014547738693467336
,,,-11666.501526272346,0.0028449850507054507,29.0,0.34,4100.0,0.0015067300789662597
,,,-11653.427434069905,0.0028053042694883073,30.0,0.34,4100.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.005839370292254779,0.0,0.38,4300.0,0.0
,,,-3276.3961693862657,0.00551879360002215,1.0,0.38,4300.0,5.357142857142857e-05
,,,-5240.214004102134,0.005253325081729459,2.0,0.38,4300.0,0.00010660445082555634
,,,-6568.040156620089,0.004998259018853527,3.0,0.38,4250.0,0.0001599066762383345
,,,-7530.482161805958,0.004803120602547931,4.0,0.38,4250.0,0.00021320890165111268
,,,-8258.805272222453,0.004630713689916622,5.0,0.38,4250.0,0.0002665111270638909
,,,-8828.739714085146,0.0044761729903808984,6.0,0.38,4250.0,0.000319813352476669
,,,-9283.5970853018,0.004336593336881353,7.0,0.38,4250.0,0.00037123115577889453
,,,-9651.83061508624,0.004209769608597427,8.0,0.38,4250.0,0.0004242641780330223
,,,-9958.265180988376,0.004072890414872446,9.0,0.38,4200.0,0.00047729720028715
,,,-10209.258770325767,0.0039670980903088,10.0,0.38,4200.0,0.0005303302225412779
,,,-10418.46957038682,0.003868838056964703,11.0,0.38,4200.0,0.0005833632447954057
,,,-10603.290629656862,0.0037761533410219576,12.0,0.38,4200.0,0.0006331658291457286
,,,-10751.259949228406,0.003691367028065281,13.0,0.38,4200.0,0.000685929648241206
,,,-10880.488111639279,0.003610735359163036,14.0,0.38,4200.0,0.0007386934673366835
,,,-10989.224038954002,0.003535534210423136,15.0,0.38,4200.0,0.0007914572864321607
,,,-11082.576208896127,0.003464971685380949,16.0,0.38,4200.0,0.0008442211055276382
,,,-11164.083655419992,0.003382698168926682,17.0,0.38,4150.0,0.0008924084709260588
,,,-11233.077467066149,0.003319738540100336,18.0,0.38,4150.0,0.0009449030868628858
,,,-11287.008279971458,0.003260126978312048,19.0,0.38,4150.0,0.0009973977027997127
,,,-11338.862448453408,0.003202680368456906,20.0,0.38,4150.0,0.00104989231873654
,,,-11379.988709758407,0.0031485311405022825,21.0,0.38,4150.0,0.0011023869346733668
,,,-11408.974108362308,0.003097986105177291,22.0,0.38,4150.0,0.001148959081119885
,,,-11438.558603578822,0.0030483386877172463,23.0,0.38,4150.0,0.0012011844938980617
,,,-11469.56052655539,0.0029994138836735335,24.0,0.38,4150.0,0.0012534099066762382
